,PassengerId,Survived
0,892,0.0
1,893,0.0
2,894,0.0
3,895,0.0
4,896,1.0
5,897,0.0
6,898,1.0
7,899,0.0
8,900,1.0
9,901,0.0
10,902,0.0
11,903,0.0
12,904,1.0
13,905,0.0
14,906,1.0
15,907,1.0
16,908,0.0
17,909,0.0
18,910,1.0
19,911,1.0
20,912,0.0
21,913,0.0
22,914,1.0
23,915,0.0
24,916,1.0
25,917,0.0
26,918,1.0
27,919,0.0
28,920,0.0
29,921,0.0
30,922,0.0
31,923,0.0
32,924,1.0
33,925,1.0
34,926,1.0
35,927,0.0
36,928,1.0
37,929,1.0
38,930,0.0
39,931,0.0
40,932,0.0
41,933,0.0
42,934,0.0
43,935,1.0
44,936,1.0
45,937,0.0
46,938,0.0
47,939,0.0
48,940,1.0
49,941,1.0
50,942,1.0
51,943,0.0
52,944,1.0
53,945,1.0
54,946,0.0
55,947,0.0
56,948,0.0
57,949,0.0
58,950,0.0
59,951,1.0
60,952,0.0
61,953,0.0
62,954,0.0
63,955,1.0
64,956,1.0
65,957,1.0
66,958,1.0
67,959,0.0
68,960,1.0
69,961,1.0
70,962,1.0
71,963,0.0
72,964,1.0
73,965,1.0
74,966,1.0
75,967,1.0
76,968,0.0
77,969,1.0
78,970,0.0
79,971,1.0
80,972,1.0
81,973,0.0
82,974,0.0
83,975,0.0
84,976,0.0
85,977,0.0
86,978,1.0
87,979,1.0
88,980,1.0
89,981,1.0
90,982,1.0
91,983,0.0
92,984,1.0
93,985,0.0
94,986,0.0
95,987,0.0
96,988,0.0
97,989,0.0
98,990,1.0
99,991,0.0
100,992,1.0
101,993,0.0
102,994,0.0
103,995,0.0
104,996,1.0
105,997,0.0
106,998,0.0
107,999,0.0
108,1000,0.0
109,1001,0.0
110,1002,0.0
111,1003,1.0
112,1004,1.0
113,1005,1.0
114,1006,1.0
115,1007,0.0
116,1008,0.0
117,1009,1.0
118,1010,1.0
119,1011,1.0
120,1012,1.0
121,1013,0.0
122,1014,1.0
123,1015,0.0
124,1016,0.0
125,1017,1.0
126,1018,0.0
127,1019,1.0
128,1020,0.0
129,1021,0.0
130,1022,0.0
131,1023,1.0
132,1024,0.0
133,1025,0.0
134,1026,0.0
135,1027,0.0
136,1028,0.0
137,1029,0.0
138,1030,1.0
139,1031,0.0
140,1032,0.0
141,1033,1.0
142,1034,1.0
143,1035,0.0
144,1036,0.0
145,1037,0.0
146,1038,0.0
147,1039,0.0
148,1040,0.0
149,1041,0.0
150,1042,1.0
151,1043,0.0
152,1044,0.0
153,1045,1.0
154,1046,0.0
155,1047,0.0
156,1048,1.0
157,1049,1.0
158,1050,0.0
159,1051,1.0
160,1052,1.0
161,1053,0.0
162,1054,1.0
163,1055,0.0
164,1056,0.0
165,1057,1.0
166,1058,0.0
167,1059,0.0
168,1060,1.0
169,1061,1.0
170,1062,0.0
171,1063,0.0
