,PassengerId,Survived
172,1064,0.0
173,1065,0.0
174,1066,0.0
175,1067,1.0
176,1068,1.0
177,1069,0.0
178,1070,1.0
179,1071,0.0
180,1072,0.0
181,1073,0.0
182,1074,1.0
183,1075,0.0
184,1076,1.0
185,1077,0.0
186,1078,1.0
187,1079,0.0
188,1080,0.0
189,1081,0.0
190,1082,0.0
191,1083,0.0
192,1084,0.0
193,1085,0.0
194,1086,1.0
195,1087,0.0
196,1088,1.0
197,1089,1.0
198,1090,0.0
199,1091,1.0
200,1092,1.0
201,1093,1.0
202,1094,0.0
203,1095,1.0
204,1096,0.0
205,1097,0.0
206,1098,1.0
207,1099,0.0
208,1100,1.0
209,1101,0.0
210,1102,0.0
211,1103,0.0
212,1104,0.0
213,1105,1.0
214,1106,0.0
215,1107,0.0
216,1108,1.0
217,1109,0.0
218,1110,1.0
219,1111,0.0
220,1112,1.0
221,1113,0.0
222,1114,1.0
223,1115,0.0
224,1116,1.0
225,1117,1.0
226,1118,0.0
227,1119,1.0
228,1120,0.0
229,1121,0.0
230,1122,0.0
231,1123,1.0
232,1124,0.0
233,1125,0.0
234,1126,1.0
235,1127,0.0
236,1128,0.0
237,1129,0.0
238,1130,1.0
239,1131,1.0
240,1132,1.0
241,1133,1.0
242,1134,0.0
243,1135,0.0
244,1136,1.0
245,1137,0.0
246,1138,1.0
247,1139,0.0
248,1140,1.0
249,1141,1.0
250,1142,1.0
251,1143,0.0
252,1144,1.0
253,1145,0.0
254,1146,0.0
255,1147,0.0
256,1148,0.0
257,1149,0.0
258,1150,1.0
259,1151,0.0
260,1152,0.0
261,1153,0.0
262,1154,1.0
263,1155,1.0
264,1156,0.0
265,1157,0.0
266,1158,0.0
267,1159,0.0
268,1160,1.0
269,1161,0.0
270,1162,1.0
271,1163,0.0
272,1164,1.0
273,1165,1.0
274,1166,0.0
275,1167,1.0
276,1168,0.0
277,1169,0.0
278,1170,0.0
279,1171,0.0
280,1172,1.0
281,1173,1.0
282,1174,1.0
283,1175,1.0
284,1176,0.0
285,1177,0.0
286,1178,0.0
287,1179,1.0
288,1180,0.0
289,1181,0.0
290,1182,0.0
291,1183,0.0
292,1184,0.0
293,1185,1.0
294,1186,0.0
295,1187,0.0
296,1188,1.0
297,1189,0.0
298,1190,0.0
299,1191,0.0
300,1192,0.0
301,1193,0.0
302,1194,0.0
303,1195,0.0
304,1196,1.0
305,1197,0.0
306,1198,0.0
307,1199,1.0
308,1200,0.0
309,1201,0.0
310,1202,0.0
311,1203,0.0
312,1204,0.0
313,1205,1.0
314,1206,1.0
315,1207,1.0
316,1208,0.0
317,1209,0.0
318,1210,0.0
319,1211,0.0
320,1212,0.0
321,1213,0.0
322,1214,0.0
323,1215,0.0
324,1216,1.0
325,1217,0.0
326,1218,1.0
327,1219,0.0
328,1220,0.0
329,1221,0.0
330,1222,1.0
331,1223,0.0
332,1224,0.0
333,1225,1.0
334,1226,0.0
335,1227,0.0
336,1228,0.0
337,1229,0.0
338,1230,0.0
339,1231,1.0
340,1232,0.0
341,1233,0.0
342,1234,0.0
343,1235,1.0
344,1236,0.0
345,1237,1.0
346,1238,0.0
347,1239,1.0
348,1240,0.0
349,1241,1.0
350,1242,1.0
351,1243,0.0
352,1244,0.0
353,1245,0.0
354,1246,1.0
355,1247,0.0
356,1248,1.0
357,1249,0.0
358,1250,0.0
359,1251,1.0
360,1252,0.0
361,1253,1.0
362,1254,1.0
363,1255,0.0
364,1256,1.0
365,1257,0.0
366,1258,0.0
367,1259,1.0
368,1260,1.0
369,1261,0.0
370,1262,0.0
371,1263,1.0
372,1264,0.0
373,1265,0.0
374,1266,1.0
375,1267,1.0
376,1268,1.0
377,1269,0.0
378,1270,0.0
379,1271,0.0
380,1272,0.0
381,1273,0.0
382,1274,1.0
383,1275,1.0
384,1276,0.0
385,1277,1.0
386,1278,0.0
387,1279,0.0
388,1280,0.0
389,1281,0.0
390,1282,1.0
391,1283,1.0
392,1284,1.0
393,1285,0.0
394,1286,0.0
395,1287,1.0
396,1288,0.0
397,1289,1.0
398,1290,0.0
399,1291,0.0
400,1292,1.0
401,1293,0.0
402,1294,1.0
403,1295,0.0
404,1296,0.0
405,1297,0.0
406,1298,0.0
407,1299,0.0
408,1300,1.0
409,1301,1.0
410,1302,1.0
411,1303,1.0
412,1304,1.0
413,1305,0.0
414,1306,1.0
415,1307,0.0
416,1308,0.0
417,1309,1.0
